Doc_ID,City,Country,Num_Reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,OVERALL_RATING
china_beijing_holiday_inn_central_plaza,beijing,China,206,4.786,4.631,4.733,3.553,4.699,4.481
china_beijing_hilton_beijing_wangfujing,beijing,China,58,4.81,4.845,4.759,4.828,4.517,4.752
china_beijing_hotel_g,beijing,China,104,4.769,4.75,4.577,4.375,4.654,4.625
china_beijing_the_regent_beijing,beijing,China,96,4.625,4.812,4.438,4.646,4.531,4.61
china_beijing_the_st_regis_beijing,beijing,China,65,4.846,4.646,4.615,4.492,4.185,4.557
china_beijing_park_plaza_beijing_wangfujing,beijing,China,236,4.797,4.606,4.513,4.61,4.585,4.622
china_beijing_the_ritz_carlton_huamao_center,beijing,China,27,4.926,4.815,4.741,3.963,4.556,4.6
china_beijing_the_opposite_house,beijing,China,30,4.967,4.867,4.8,4.7,4.367,4.74
china_beijing_double_happiness_courtyard_hotel,beijing,China,33,4.667,4.333,4.606,4.242,4.455,4.461
china_beijing_intercontinental_financial_street_beijing,beijing,China,61,4.803,4.82,4.508,3.803,4.41,4.469
china_beijing_michael_s_house_in_beijing,beijing,China,40,4.675,4.475,4.775,4.125,4.575,4.525
china_beijing_spring_garden_courtyard_hotel,beijing,China,18,4.611,4.389,4.778,4.389,4.444,4.522
china_beijing_grand_hyatt_beijing,beijing,China,154,4.675,4.383,4.318,4.825,4.104,4.461
china_beijing_raffles_beijing_hotel,beijing,China,92,4.663,4.63,4.326,4.848,4.217,4.537
china_beijing_courtyard_7,beijing,China,10,4.8,4.4,4.8,4.6,4.6,4.64
china_beijing_kellys_courtyard,beijing,China,8,4.875,4.5,5.0,4.375,4.875,4.725
china_beijing_the_ritz_carlton_beijing_financial_street,beijing,China,26,4.885,4.923,4.654,3.923,4.577,4.592
china_beijing_templeside_deluxe_hutong_house_hotel,beijing,China,8,4.75,4.75,5.0,4.75,4.5,4.75
china_beijing_the_peninsula_beijing,beijing,China,134,4.701,4.336,4.463,4.657,4.067,4.445
china_beijing_sofitel_wanda_beijing,beijing,China,43,4.698,4.535,4.233,3.953,4.233,4.33
china_beijing_china_world_hotel,beijing,China,53,4.491,4.453,4.094,4.151,3.868,4.211
china_beijing_legendale_hotel_beijing,beijing,China,1,5.0,5.0,4.0,5.0,5.0,4.8
china_beijing_marriott_hotel_beijing_city_wall,beijing,China,33,4.515,4.606,4.121,4.03,4.061,4.267
china_beijing_intercontinental_beijing_beichen,beijing,China,17,4.824,4.647,4.529,3.824,4.647,4.494
china_beijing_beijing_sihe_courtyard_hotel,beijing,China,67,4.433,4.209,4.463,4.328,4.149,4.316
china_beijing_kapok_hotel,beijing,China,105,4.343,4.362,3.819,4.686,4.352,4.312
china_beijing_bamboo_garden_hotel,beijing,China,39,4.564,4.333,4.385,4.103,4.41,4.359
china_beijing_hotel_new_otani_chang_fu_gong,beijing,China,29,4.207,4.103,3.966,4.276,3.966,4.103
china_beijing_pullman_beijing_west_wanda,beijing,China,9,4.778,5.0,4.778,3.778,5.0,4.667
china_beijing_renaissance_beijing_capital_hotel,beijing,China,20,4.85,4.7,4.7,4.1,4.4,4.55
china_beijing_jw_marriott_hotel_beijing,beijing,China,39,4.692,4.718,3.897,4.026,4.051,4.277
china_beijing_shangri_la_hotel_beijing,beijing,China,35,4.457,4.314,4.257,2.657,3.886,3.914
china_beijing_crowne_plaza_hotel_beijing,beijing,China,107,4.467,4.299,4.159,4.664,4.112,4.34
china_beijing_the_westin_beijing_financial_street,beijing,China,83,4.783,4.651,4.313,3.723,4.133,4.32
china_beijing_hilton_beijing,beijing,China,51,4.627,4.431,4.51,3.804,4.059,4.286
china_beijing_crowne_plaza_hotel_zhongguancun,beijing,China,7,4.571,4.857,4.571,4.143,4.429,4.514
china_beijing_the_emperor,beijing,China,14,4.429,4.429,4.0,4.643,3.857,4.271
